Date,Price,Open,High,Low,Volume,Chg%
"Jun 12, 2014",59.295,59.235,59.375,59.1,0,-0.08%
"Jun 11, 2014",59.34,59.33,59.37,59.23,0,0.21%
"Jun 10, 2014",59.215,59.135,59.35,59.135,0,0.02%
"Jun 09, 2014",59.205,59.105,59.21,58.975,0,0.05%
"Jun 06, 2014",59.175,59.165,59.315,59.105,0,-0.14%
"June 5, 2014",59.26,59.28,59.37,59.195,0,-0.03%
"June 4, 2014",59.28,59.435,59.465,59.215,0,-0.10%
"June 3, 2014",59.34,59.08,59.432,59.08,0,0.31%
"June 2, 2014",59.155,59.105,59.275,59.065,0,-0.07%
"May 30, 2014",59.195,59.045,59.195,58.94,0,0.47%
"May 29, 2014",58.92,58.935,59.085,58.795,0,-0.04%
"May 28, 2014",58.945,58.955,59.22,58.815,0,-0.17%
"May 27, 2014",59.045,58.715,59.097,58.655,0,0.56%
"May 26, 2014",58.715,58.445,58.925,58.41,0,0.32%
"May 23, 2014",58.525,58.465,58.555,58.33,0,0.41%
"May 22, 2014",58.285,58.615,58.7,58.265,0,-0.70%
"May 21, 2014",58.695,58.705,58.875,58.635,0,0.18%
"May 20, 2014",58.59,58.595,58.825,58.525,0,0.37%
"May 19, 2014",58.375,58.565,58.615,58.375,0,-0.36%
"May 16, 2014",58.585,59.365,59.365,58.585,0,-1.48%
"May 15, 2014",59.465,59.415,59.615,59.1,0,-0.03%
"May 14, 2014",59.485,59.405,59.515,59.39,0,0.03%
"May 13, 2014",59.465,59.965,59.965,59.46,0,-0.98%
"May 12, 2014",60.055,59.905,60.115,59.513,0,0.15%
"May 09, 2014",59.965,60.065,60.1,59.87,0,0.11%
"May 08, 2014",59.9,59.965,60.1,59.88,0,-0.21%
"May 07, 2014",60.025,60.055,60.155,59.965,0,0.07%
"May 6, 2014",59.985,60.075,60.245,59.975,0,-0.42%
"May 5, 2014",60.24,60.09,60.25,60.008,0,0.09%
"May 2, 2014",60.185,60.235,60.285,60.105,0,-0.14%
"May 1, 2014",60.27,60.27,60.27,60.27,0,-0.12%
"Apr 30, 2014",60.345,60.355,60.415,60.225,0,-0.13%
"Apr 29, 2014",60.425,60.615,60.635,60.315,0,-0.37%
"Apr 28, 2014",60.65,60.605,60.74,60.433,0,0.01%
"Apr 25, 2014",60.645,61.055,61.15,60.543,0,-0.76%
"Apr 24, 2014",61.11,61.01,61.14,61.01,0,0.02%
"Apr 23, 2014",61.095,60.885,61.195,60.865,0,0.54%
"Apr 22, 2014",60.765,60.675,60.885,60.635,0,0.28%
"Apr 21, 2014",60.595,60.265,60.615,60.265,0,0.50%
"Apr 18, 2014",60.295,60.295,60.295,60.235,0,0.00%
"Apr 17, 2014",60.295,60.295,60.505,60.27,0,-0.13%
"Apr 16, 2014",60.375,60.305,60.425,60.185,0,0.23%
"Apr 15, 2014",60.235,60.355,60.355,60.205,0,-0.03%
"Apr 14, 2014",60.255,60.255,60.255,60.255,0,0.12%
"Apr 11, 2014",60.18,60.325,60.345,60.14,0,0.17%
"Apr 10, 2014",60.075,60.045,60.295,60.035,0,-0.12%
"Apr 09, 2014",60.145,59.975,60.155,59.825,0,0.09%
"Apr 08, 2014",60.09,60.13,60.15,60.03,0,-0.04%
"Apr 07, 2014",60.115,59.905,60.25,59.765,0,0.05%
"Apr 4, 2014",60.085,60.355,60.398,60.075,0,-0.14%
"Apr 3, 2014",60.17,59.955,60.3,59.835,0,0.44%
"Apr 2, 2014",59.905,59.815,59.915,59.575,0,-0.18%
"Apr 1, 2014",60.015,59.935,60.045,59.935,0,0.00%
"Mar 31, 2014",60.015,59.91,60.02,59.91,0,0.21%
"Mar 28, 2014",59.89,60.19,60.19,59.69,0,-0.59%
"Mar 27, 2014",60.245,60.245,60.355,60.125,0,0.17%
"Mar 26, 2014",60.145,60.305,60.305,60.065,0,-0.56%
"Mar 25, 2014",60.485,60.605,60.605,60.435,0,-0.49%
"Mar 24, 2014",60.78,60.855,60.855,60.645,0,-0.20%
"Mar 21, 2014",60.9,61.195,61.205,60.9,0,-0.72%
"Mar 20, 2014",61.34,61.39,61.39,61.07,0,0.60%
"Mar 19, 2014",60.975,61.085,61.185,60.925,0,-0.23%
"Mar 18, 2014",61.115,61.035,61.215,60.875,0,0.04%
"Mar 17, 2014",61.09,61.13,61.13,61.07,0,-0.19%
"Mar 14, 2014",61.205,61.415,61.555,61.055,0,0.05%
"Mar 13, 2014",61.175,61.025,61.185,60.915,0,-0.07%
"Mar 12, 2014",61.22,60.945,61.295,60.945,0,0.45%
"Mar 11, 2014",60.945,60.885,60.975,60.605,0,0.16%
"Mar 10, 2014",60.845,61.255,61.335,60.79,0,-0.39%
"Mar 07, 2014",61.085,61.015,61.175,60.945,0,-0.05%
"Mar 6, 2014",61.115,61.535,61.535,61.105,0,-1.04%
"Mar 5, 2014",61.755,61.905,61.91,61.65,0,-0.24%
"Mar 4, 2014",61.905,62.135,62.155,61.835,0,-0.23%
"Mar 3, 2014",62.045,61.955,62.09,61.815,0,0.40%
"Feb 28, 2014",61.795,62.105,62.14,61.755,0,-0.32%
"Feb 27, 2014",61.995,61.995,61.995,61.995,0,0.02%
"Feb 26, 2014",61.985,61.965,62.055,61.885,0,0.00%
"Feb 25, 2014",61.985,61.985,62.05,61.86,0,-0.14%
"Feb 24, 2014",62.075,62.105,62.16,61.945,0,-0.10%
"Feb 21, 2014",62.14,62.19,62.19,62.055,0,-0.16%
"Feb 20, 2014",62.24,62.38,62.45,62.213,0,0.00%
"Feb 19, 2014",62.24,62.2,62.24,62.2,0,0.10%
"Feb 18, 2014",62.18,62.02,62.31,61.96,0,0.54%
"Feb 17, 2014",61.845,61.965,62.085,61.825,0,-0.02%
"Feb 14, 2014",61.855,62.245,62.37,61.845,0,-0.91%
"Feb 13, 2014",62.425,62.005,62.465,62.005,0,0.53%
"Feb 12, 2014",62.095,62.105,62.185,62.045,0,-0.21%
"Feb 11, 2014",62.225,62.355,62.455,62.19,0,-0.37%
"Feb 10, 2014",62.455,62.375,62.505,62.09,0,0.24%
"Feb 07, 2014",62.305,62.305,62.415,62.25,0,-0.12%
"Feb 6, 2014",62.38,62.37,62.55,62.36,0,-0.35%
"Feb 5, 2014",62.6,62.39,62.62,62.36,0,0.11%
"Feb 4, 2014",62.53,62.655,62.835,62.487,0,-0.06%
"Feb 3, 2014",62.565,62.705,62.79,62.555,0,-0.19%
"Jan 31, 2014",62.685,62.405,62.755,62.355,0,0.19%
"Jan 30, 2014",62.565,62.905,62.905,62.545,0,0.14%
"Jan 29, 2014",62.475,62.345,62.59,62.115,0,-0.16%
"Jan 28, 2014",62.575,63.195,63.195,62.515,0,-0.84%
"Jan 27, 2014",63.105,62.885,63.325,62.655,0,0.65%
"Jan 24, 2014",62.695,61.945,62.745,61.945,0,1.23%
"Jan 23, 2014",61.933,61.815,62.05,61.815,0,0.18%
"Jan 22, 2014",61.82,61.905,62.025,61.716,0,-0.11%
"Jan 21, 2014",61.885,61.545,61.945,61.455,0,0.42%
"Jan 20, 2014",61.625,61.675,61.675,61.53,0,0.13%
"Jan 17, 2014",61.545,61.485,61.555,61.32,0,0.01%
"Jan 16, 2014",61.54,61.655,61.71,61.51,0,-0.06%
"Jan 15, 2014",61.58,61.67,61.72,61.43,0,0.15%
